school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Total,Grades
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,1,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,1,0,11,11,22,Fail
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,0,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,1,9,11,11,31,Satisfied
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,0,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,1,12,13,12,37,Good
GP,F,15,U,GT3,T,4,2,health,services,home,mother,0,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,42,Very Good
GP,F,16,U,GT3,T,3,3,other,other,home,father,0,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,37,Good
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,0,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,1,12,12,13,37,Good
GP,M,16,U,LE3,T,2,2,other,other,home,mother,0,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,38,Good
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,1,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,1,10,13,13,36,Good
GP,M,15,U,LE3,A,3,2,services,other,home,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,48,Excellent
GP,M,15,U,GT3,T,3,4,other,other,home,mother,0,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,37,Good
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,1,14,14,14,42,Very Good
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,35,Good
GP,M,15,U,LE3,T,4,4,health,services,course,father,0,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,37,Good
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,37,Good
GP,M,15,U,GT3,A,2,2,other,other,home,other,0,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,43,Very Good
GP,F,16,U,GT3,T,4,4,health,other,home,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,1,17,17,17,51,Excellent
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,0,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,1,13,13,14,40,Very Good
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,1,13,14,14,41,Very Good
GP,M,17,U,GT3,T,3,2,services,services,course,mother,0,1,1,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,1,8,8,7,23,Fail
GP,M,16,U,LE3,T,4,3,health,other,home,father,0,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,1,12,12,12,36,Good
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,0,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,39,Good
GP,M,15,U,GT3,T,4,4,health,health,other,father,0,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,35,Good
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,0,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,39,Good
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,1,10,10,10,30,Satisfied
GP,F,15,R,GT3,T,2,4,services,health,course,mother,0,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,1,10,11,10,31,Satisfied
GP,F,16,U,GT3,T,2,2,services,services,home,mother,0,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,1,10,11,12,33,Satisfied
GP,M,15,U,GT3,T,2,2,other,other,home,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,1,11,12,12,35,Good
GP,M,15,U,GT3,T,4,2,health,services,other,mother,0,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,33,Satisfied
GP,M,16,U,LE3,A,3,4,services,other,home,mother,0,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,1,12,12,13,37,Good
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,0,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,3,4,5,1,12,11,12,35,Good
GP,M,15,U,GT3,T,4,4,health,services,home,mother,0,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,32,Satisfied
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,1,15,15,15,45,Very Good
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,0,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,42,Very Good
GP,M,15,U,LE3,T,3,3,other,other,course,mother,0,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,37,Good
GP,M,16,U,GT3,T,3,2,other,other,home,mother,0,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,1,12,12,12,36,Good
GP,F,15,U,GT3,T,2,3,other,other,other,father,1,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,1,11,11,11,33,Satisfied
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,0,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,42,Very Good
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,1,13,13,13,39,Good
GP,F,15,R,GT3,T,3,4,services,health,course,mother,0,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,1,11,12,12,35,Good
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,0,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,1,14,13,12,39,Good
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,0,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,1,10,11,11,32,Satisfied
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,0,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,44,Very Good
GP,M,15,U,GT3,T,2,2,services,services,course,father,0,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,29,Satisfied
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,1,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,1,10,11,11,32,Satisfied
GP,F,15,U,LE3,A,4,3,other,other,course,mother,0,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,1,10,11,11,32,Satisfied
GP,F,16,U,LE3,A,3,3,other,services,home,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,1,13,12,13,38,Good
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,0,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,1,17,17,17,51,Excellent
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,0,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,1,11,12,13,36,Good
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,0,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,1,13,12,12,37,Good
GP,F,16,U,LE3,T,2,2,services,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,40,Very Good
GP,F,15,U,LE3,T,4,2,health,other,other,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,46,Excellent
GP,M,15,U,LE3,A,4,2,health,health,other,father,1,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,1,10,9,9,28,Satisfied
GP,F,15,U,GT3,T,4,4,services,services,course,mother,0,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,37,Good
GP,F,15,U,LE3,A,3,3,other,other,other,mother,0,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,3,4,1,0,13,12,13,38,Good
GP,F,16,U,GT3,A,2,1,other,other,other,mother,0,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,1,12,13,12,37,Good
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,0,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,44,Very Good
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,0,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,1,15,15,16,46,Excellent
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,0,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,41,Very Good
GP,F,16,U,GT3,T,4,2,services,other,course,mother,0,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,1,16,15,16,47,Excellent
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,0,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,49,Excellent
GP,F,16,U,GT3,T,1,1,services,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,3,4,5,0,10,10,16,36,Good
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,0,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,36,Good
